,dysp
1231,1
1232,1
1233,1
1234,0
1235,0
1236,1
1237,0
1238,0
1239,0
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,0
1252,1
1253,1
1254,0
1255,1
1256,0
1257,0
1258,1
1259,1
1260,0
1261,1
1262,0
1263,0
1264,1
1265,1
1266,1
1267,1
1268,0
1269,1
1270,1
1271,0
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,1
1283,1
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,1
1291,0
1292,0
1293,0
1294,1
1295,0
1296,0
1297,1
1298,1
1299,1
1300,0
1301,1
1302,0
1303,0
1304,1
1305,1
1306,0
1307,0
1308,0
1309,1
1310,0
1311,1
1312,0
1313,1
1314,0
1315,1
1316,0
1317,1
1318,1
1319,0
1320,0
1321,0
1322,0
1323,1
1324,0
1325,0
1326,0
1327,1
1328,0
1329,0
1330,1
1331,1
1332,0
1333,0
1334,0
1335,0
1336,1
1337,1
1338,1
1339,0
1340,1
1341,1
1342,1
1343,0
1344,1
1345,0
1346,0
1347,1
1348,0
1349,1
1350,1
1351,0
1352,0
1353,1
1354,0
1355,1
1356,0
1357,1
1358,0
1359,1
1360,1
1361,1
1362,1
1363,0
1364,1
1365,0
1366,1
1367,0
1368,0
1369,0
1370,1
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1378,0
1379,0
1380,0
1381,1
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,1
1391,1
1392,0
1393,1
1394,1
1395,1
1396,1
1397,0
1398,0
1399,0
1400,1
1401,0
1402,0
1403,1
1404,1
1405,1
1406,0
1407,0
1408,1
1409,0
1410,1
1411,1
1412,1
1413,1
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,1
1422,0
1423,1
1424,1
1425,1
1426,0
1427,0
1428,0
1429,0
1430,1
1431,1
1432,1
1433,0
1434,1
1435,1
1436,0
1437,0
1438,1
1439,1
1440,1
1441,1
1442,0
1443,0
1444,0
1445,1
1446,1
1447,1
1448,1
1449,1
1450,0
1451,0
1452,0
1453,0
1454,0
1455,1
1456,1
1457,0
1458,1
1459,0
1460,1
1461,1
1462,0
1463,0
1464,0
1465,0
1466,0
1467,1
1468,0
1469,0
1470,1
1471,1
1472,0
1473,0
1474,1
1475,1
1476,1
1477,0
1478,0
1479,1
1480,0
1481,1
1482,0
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,0
1491,0
1492,0
1493,1
1494,1
1495,0
1496,1
1497,1
1498,1
1499,0
1500,1
1501,1
1502,0
1503,1
1504,1
1505,0
1506,1
1507,0
1508,1
1509,0
1510,0
1511,1
1512,0
1513,1
1514,0
1515,0
1516,1
1517,0
1518,1
1519,0
1520,1
1521,0
1522,0
1523,1
1524,0
1525,1
1526,1
1527,0
1528,1
1529,0
1530,1
1531,1
1532,0
1533,0
1534,0
1535,1
1536,1
1537,1
1538,0
1539,1
1540,1
1541,0
1542,0
1543,0
1544,1
1545,1
1546,0
1547,0
1548,0
1549,0
1550,1
1551,0
1552,1
1553,0
1554,1
1555,0
1556,0
1557,1
1558,0
1559,0
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,1
1568,0
1569,1
1570,1
1571,1
1572,1
1573,0
1574,0
1575,1
1576,1
1577,0
1578,0
1579,0
1580,0
1581,0
1582,1
1583,1
1584,0
1585,0
1586,1
1587,0
1588,0
1589,1
1590,1
1591,0
1592,0
1593,1
1594,0
1595,1
1596,1
1597,1
1598,0
1599,0
1600,1
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,1
1610,0
1611,0
1612,1
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,1
1620,1
1621,0
1622,1
1623,0
1624,1
1625,0
1626,0
1627,0
1628,0
1629,1
1630,1
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,1
1638,1
1639,0
1640,1
1641,0
1642,1
1643,0
1644,1
1645,1
1646,1
1647,0
1648,1
1649,1
1650,0
1651,0
1652,1
1653,1
1654,1
1655,1
1656,0
1657,1
1658,0
1659,0
1660,1
1661,0
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,0
1679,0
1680,1
1681,0
1682,1
1683,0
1684,1
1685,1
1686,1
1687,0
1688,0
1689,0
1690,1
1691,1
1692,0
1693,0
1694,0
1695,1
1696,1
1697,1
1698,1
1699,0
1700,0
1701,0
1702,1
1703,1
1704,0
1705,1
1706,1
1707,0
1708,0
1709,0
1710,1
1711,0
1712,1
1713,1
1714,1
1715,0
1716,0
1717,1
1718,1
1719,1
1720,0
1721,0
1722,1
1723,0
1724,1
1725,1
1726,1
1727,0
1728,1
1729,1
1730,1
1731,1
1732,1
1733,0
1734,0
1735,0
1736,1
1737,1
1738,1
1739,1
1740,0
1741,1
1742,0
1743,0
1744,0
1745,1
1746,1
1747,1
1748,0
1749,0
1750,1
1751,1
1752,1
1753,0
1754,1
1755,1
1756,0
1757,0
1758,0
1759,1
1760,0
1761,0
1762,1
1763,1
1764,0
1765,1
1766,0
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,0
1774,0
1775,0
1776,0
1777,1
1778,0
1779,0
1780,0
1781,1
1782,0
1783,1
1784,1
1785,0
1786,1
1787,1
1788,1
1789,0
1790,0
1791,1
1792,1
1793,0
1794,1
1795,0
1796,0
1797,1
1798,1
1799,0
1800,1
1801,1
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,1
1809,1
1810,0
1811,1
1812,0
1813,0
1814,0
1815,1
1816,1
1817,1
1818,0
1819,0
1820,0
1821,1
1822,0
1823,0
1824,1
1825,1
1826,1
1827,1
1828,0
1829,0
1830,1
1831,1
1832,1
1833,1
1834,0
1835,1
1836,0
1837,1
1838,0
1839,0
1840,1
1841,1
1842,0
1843,1
1844,1
1845,1
1846,0
1847,1
1848,1
1849,1
1850,0
1851,0
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,1
1860,1
1861,1
1862,0
1863,1
1864,1
1865,0
1866,0
1867,0
1868,1
1869,1
1870,0
1871,1
1872,1
1873,0
1874,0
1875,0
1876,0
1877,1
1878,0
1879,1
1880,1
1881,1
1882,1
1883,1
1884,0
1885,1
1886,0
1887,1
1888,1
1889,1
1890,0
1891,1
1892,0
1893,1
1894,1
1895,0
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,0
1907,1
1908,0
1909,0
1910,0
1911,0
1912,0
1913,1
1914,0
1915,1
1916,0
1917,1
1918,1
1919,1
1920,1
1921,1
1922,0
1923,1
1924,1
1925,1
1926,1
1927,0
1928,1
1929,1
1930,1
1931,1
1932,1
1933,0
1934,1
1935,0
1936,0
1937,1
1938,0
1939,1
1940,0
1941,0
1942,1
1943,1
1944,0
1945,0
1946,1
1947,0
1948,0
1949,1
1950,1
1951,0
1952,0
1953,1
1954,1
1955,1
1956,1
1957,0
1958,1
1959,1
1960,1
1961,1
1962,0
1963,0
1964,0
1965,1
1966,1
1967,1
1968,0
1969,1
1970,0
1971,1
1972,0
1973,1
1974,1
1975,1
1976,0
1977,1
1978,0
1979,1
1980,0
1981,1
1982,0
1983,1
1984,0
1985,1
1986,1
1987,0
1988,1
1989,0
1990,1
1991,1
1992,0
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,0
2002,0
2003,0
2004,0
2005,1
2006,1
2007,1
2008,1
2009,0
2010,1
2011,1
2012,0
2013,1
2014,0
2015,0
2016,1
2017,1
2018,0
2019,0
2020,0
2021,1
2022,1
2023,0
2024,1
2025,0
2026,1
2027,1
2028,0
2029,1
2030,1
2031,1
2032,1
2033,0
2034,1
2035,1
2036,0
2037,1
2038,1
2039,0
2040,1
2041,1
2042,0
2043,0
2044,0
2045,0
2046,1
2047,0
2048,1
2049,1
2050,1
2051,1
2052,0
2053,0
2054,1
2055,1
2056,1
2057,0
2058,1
2059,1
2060,0
2061,1
2062,0
2063,1
2064,1
2065,1
2066,1
2067,1
2068,0
2069,0
2070,0
2071,1
2072,0
2073,0
2074,0
2075,1
2076,1
2077,1
2078,1
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,1
2088,1
2089,0
2090,0
2091,0
2092,0
2093,0
2094,1
2095,1
2096,1
2097,1
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,0
2105,1
2106,1
2107,1
2108,1
2109,1
2110,1
2111,0
2112,1
2113,0
2114,0
2115,1
2116,0
2117,1
2118,1
2119,1
2120,0
2121,0
2122,1
2123,1
2124,0
2125,1
2126,0
2127,0
2128,1
2129,1
2130,0
2131,1
2132,1
2133,1
2134,0
2135,0
2136,0
2137,0
2138,1
2139,1
2140,1
2141,1
2142,0
2143,1
2144,1
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,1
2152,1
2153,0
2154,1
2155,0
2156,0
2157,0
2158,0
2159,1
2160,0
2161,1
2162,1
2163,1
2164,0
2165,0
2166,1
2167,1
2168,0
2169,1
2170,1
2171,0
2172,0
2173,0
2174,0
2175,0
2176,1
2177,0
2178,0
2179,1
2180,1
2181,1
2182,1
2183,0
2184,1
2185,0
2186,1
2187,0
2188,0
2189,0
2190,1
2191,0
2192,0
2193,1
2194,0
2195,1
2196,0
2197,1
2198,0
2199,1
2200,1
2201,1
2202,0
2203,0
2204,0
2205,0
2206,1
2207,1
2208,0
2209,1
2210,1
2211,0
2212,1
2213,0
2214,1
2215,1
2216,0
2217,0
2218,0
2219,0
2220,1
2221,0
2222,1
2223,0
2224,0
2225,0
2226,0
2227,1
2228,1
2229,0
2230,1
2231,0
2232,0
2233,1
2234,1
2235,1
2236,1
2237,0
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,0
2246,1
2247,1
2248,0
2249,0
2250,0
2251,0
2252,1
2253,1
2254,1
2255,1
2256,1
2257,0
2258,1
2259,1
2260,0
2261,1
2262,0
2263,1
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,1
2272,0
2273,1
2274,0
2275,1
2276,0
2277,0
2278,1
2279,1
2280,1
2281,0
2282,1
2283,0
2284,1
2285,1
2286,1
2287,1
2288,0
2289,1
2290,0
2291,1
2292,0
2293,1
2294,0
2295,1
2296,0
2297,1
2298,0
2299,0
2300,1
2301,1
2302,0
2303,1
2304,0
2305,0
2306,0
2307,0
2308,1
2309,0
2310,1
2311,0
2312,0
2313,0
2314,1
2315,0
2316,1
2317,1
2318,1
2319,1
2320,0
2321,1
2322,1
2323,0
2324,1
2325,1
2326,0
2327,0
2328,1
2329,0
2330,0
2331,1
2332,0
2333,1
2334,0
2335,1
2336,0
2337,0
2338,1
2339,0
2340,1
2341,1
2342,0
2343,0
2344,0
2345,0
2346,1
2347,1
2348,1
2349,1
2350,1
2351,0
2352,0
2353,1
2354,1
2355,1
2356,1
2357,0
2358,1
2359,1
2360,0
2361,1
2362,0
2363,1
2364,1
2365,0
2366,1
2367,1
2368,0
2369,0
2370,0
2371,1
2372,1
2373,0
2374,1
2375,0
2376,1
2377,1
2378,0
2379,1
2380,0
2381,1
2382,1
2383,1
2384,1
2385,0
2386,1
2387,1
2388,1
2389,0
2390,1
2391,1
2392,1
2393,0
2394,1
2395,0
2396,0
2397,1
2398,1
2399,0
2400,1
2401,1
2402,0
2403,0
2404,0
2405,1
2406,0
2407,1
2408,1
2409,1
2410,1
2411,1
2412,0
2413,1
2414,1
2415,1
2416,1
2417,1
2418,1
2419,0
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,0
2428,1
2429,0
2430,0
2431,1
2432,1
2433,0
2434,1
2435,1
2436,0
2437,1
2438,0
2439,0
2440,1
2441,0
2442,0
2443,1
2444,1
2445,1
2446,0
2447,1
2448,0
2449,0
2450,1
2451,0
2452,1
2453,1
2454,1
2455,0
2456,0
2457,0
2458,1
2459,1
2460,0
2461,1
2462,1
2463,1
2464,0
2465,0
2466,1
2467,1
2468,0
2469,0
2470,1
2471,0
2472,0
2473,1
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,1
2485,1
2486,1
2487,0
2488,0
2489,0
2490,1
2491,0
2492,1
2493,0
2494,0
2495,1
2496,1
2497,1
2498,1
2499,1
2500,0
2501,1
2502,1
2503,1
2504,0
2505,1
2506,1
2507,1
2508,1
2509,0
2510,0
2511,1
2512,1
2513,1
2514,0
2515,1
2516,1
2517,1
2518,0
2519,0
2520,1
2521,0
2522,0
2523,1
2524,0
2525,0
2526,0
2527,0
2528,0
2529,1
2530,1
2531,1
2532,0
2533,1
2534,1
2535,0
2536,1
2537,0
2538,1
2539,0
2540,0
2541,1
2542,1
2543,0
2544,1
2545,0
2546,1
2547,0
2548,1
2549,1
2550,0
2551,0
2552,0
2553,0
2554,1
2555,1
2556,1
2557,0
2558,1
2559,1
2560,1
2561,0
2562,0
2563,0
2564,1
2565,0
2566,1
2567,1
2568,1
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,0
2576,0
2577,1
2578,0
2579,0
2580,1
2581,0
2582,0
2583,1
2584,1
2585,0
2586,0
2587,1
2588,0
2589,0
2590,1
2591,1
2592,1
2593,0
2594,1
2595,1
2596,1
2597,0
2598,0
2599,0
2600,0
2601,1
2602,0
2603,0
2604,1
2605,1
2606,0
2607,0
2608,0
2609,1
2610,1
2611,0
2612,1
2613,0
2614,0
2615,0
2616,1
2617,1
2618,0
2619,0
2620,0
2621,0
2622,0
2623,1
2624,1
2625,0
2626,1
2627,0
2628,1
2629,1
2630,1
2631,0
2632,0
2633,1
2634,1
2635,1
2636,1
2637,0
2638,0
2639,0
2640,0
2641,1
2642,1
2643,1
2644,0
2645,1
2646,1
2647,1
2648,1
2649,0
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,1
2657,0
2658,0
2659,0
2660,1
2661,1
2662,1
2663,0
2664,0
2665,1
2666,1
2667,1
2668,1
2669,0
2670,1
2671,1
2672,1
2673,0
2674,0
2675,1
2676,1
2677,1
2678,1
2679,1
2680,0
2681,0
2682,0
2683,0
2684,1
2685,0
2686,1
2687,1
2688,1
2689,1
2690,0
2691,1
2692,1
2693,0
2694,1
2695,1
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,1
2703,0
2704,1
2705,1
2706,1
2707,1
2708,1
2709,1
2710,0
2711,0
2712,1
2713,0
2714,0
2715,0
2716,1
2717,0
2718,1
2719,1
2720,1
2721,0
2722,0
2723,1
2724,1
2725,1
2726,0
2727,0
2728,1
2729,1
2730,0
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,0
2740,1
2741,0
2742,1
2743,0
2744,0
2745,1
2746,1
2747,0
2748,1
2749,0
2750,1
2751,1
2752,0
2753,1
2754,1
2755,1
2756,1
2757,0
2758,1
2759,0
2760,1
2761,0
2762,1
2763,1
2764,1
2765,0
2766,1
2767,0
2768,0
2769,1
2770,0
2771,0
2772,1
2773,1
2774,1
2775,1
2776,1
2777,0
2778,0
2779,0
2780,0
2781,1
2782,0
2783,1
2784,1
2785,1
2786,1
2787,0
2788,0
2789,0
2790,0
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,1
2800,0
2801,0
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,1
2809,1
2810,1
2811,0
2812,1
2813,1
2814,0
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,0
2822,0
2823,1
2824,1
2825,0
2826,0
2827,1
2828,1
2829,1
2830,0
2831,1
2832,1
2833,1
2834,1
2835,1
2836,0
2837,1
2838,1
2839,0
2840,1
2841,1
2842,1
2843,1
2844,1
2845,0
2846,1
2847,1
2848,0
2849,0
2850,0
2851,1
2852,0
2853,1
2854,1
2855,1
2856,0
2857,0
2858,0
2859,1
2860,1
2861,0
2862,1
2863,1
2864,0
2865,0
2866,0
2867,1
2868,0
2869,0
2870,1
2871,0
2872,1
2873,1
2874,0
2875,1
2876,0
2877,0
2878,1
2879,1
2880,1
2881,0
2882,1
2883,1
2884,0
2885,1
2886,1
2887,1
2888,1
2889,0
2890,1
2891,1
2892,0
2893,0
2894,1
2895,0
2896,1
2897,0
2898,0
2899,1
2900,1
2901,1
2902,1
2903,0
2904,1
2905,0
2906,0
2907,1
2908,1
2909,1
2910,0
2911,1
2912,1
2913,1
2914,1
2915,0
2916,0
2917,1
2918,1
2919,0
2920,0
2921,1
2922,0
2923,1
2924,1
2925,1
2926,0
2927,1
2928,1
2929,0
2930,0
2931,1
2932,0
2933,0
2934,1
2935,0
2936,1
2937,1
2938,0
2939,1
2940,1
2941,0
2942,1
2943,0
2944,0
2945,0
2946,0
2947,1
2948,0
2949,1
2950,0
2951,1
2952,0
2953,0
2954,1
2955,1
2956,1
2957,0
2958,0
2959,1
2960,0
2961,0
2962,0
2963,1
2964,1
2965,0
2966,0
2967,1
2968,0
2969,1
2970,0
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,0
2978,0
2979,1
2980,0
2981,1
2982,0
2983,1
2984,1
2985,0
2986,1
2987,0
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,0
2995,0
2996,1
2997,0
