,Problem1
532,1
533,0
534,0
535,0
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,1
604,0
605,1
606,0
607,0
608,0
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,1
726,1
727,0
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,1
803,0
804,1
805,0
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,0
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,1
823,0
824,1
825,0
826,0
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,0
836,0
837,1
838,1
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,1
857,1
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,0
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,1
881,0
882,1
883,0
884,1
885,1
886,1
887,1
888,0
889,0
890,1
891,1
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,0
900,0
901,1
902,1
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,0
915,1
916,1
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,0
931,1
932,1
933,0
934,0
935,1
936,1
937,1
938,0
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,1
954,1
955,0
956,0
957,0
958,0
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,0
969,1
970,1
971,0
972,1
973,0
974,1
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,1
984,1
985,0
986,0
987,0
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
1060,1
1061,1
1062,0
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,1
1093,1
1094,1
1095,0
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,1
1116,1
1117,1
1118,0
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,1
1133,0
1134,0
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,0
1157,0
1158,0
1159,1
1160,1
1161,1
1162,0
1163,0
1164,0
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,0
1173,1
1174,0
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,0
1194,0
1195,0
1196,0
1197,1
1198,0
1199,0
1200,0
1201,0
1202,0
1203,1
1204,1
1205,0
1206,1
1207,0
1208,0
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,1
1227,1
1228,1
1229,0
1230,0
1231,0
1232,0
1233,1
1234,0
1235,1
1236,0
1237,0
1238,0
1239,0
1240,1
1241,0
1242,0
1243,1
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,1
1251,0
1252,0
1253,1
1254,0
1255,0
1256,0
1257,1
1258,0
1259,1
1260,0
1261,1
1262,0
1263,0
1264,0
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,0
1272,0
1273,1
1274,0
1275,1
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,1
1284,0
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,1
1292,0
1293,1
1294,1
1295,0
1296,1
1297,1
1298,0
1299,0
1300,1
1301,0
1302,0
1303,0
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
1310,1
1311,0
1312,0
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,1
1326,1
1327,1
1328,0
1329,0
1330,1
1331,0
1332,0
1333,1
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,1
1346,0
1347,0
1348,1
1349,0
1350,0
1351,0
1352,0
1353,0
1354,1
1355,1
1356,0
1357,1
1358,1
1359,0
1360,1
1361,0
1362,0
1363,1
1364,0
1365,1
1366,1
1367,0
1368,0
1369,1
1370,0
1371,1
1372,0
1373,1
1374,1
1375,0
1376,1
1377,1
1378,1
1379,0
1380,0
1381,1
1382,0
1383,1
1384,0
1385,0
1386,1
1387,0
1388,0
1389,1
1390,0
1391,0
1392,1
1393,0
1394,1
1395,1
1396,0
1397,0
1398,0
1399,1
1400,1
1401,0
1402,0
1403,0
1404,1
1405,1
1406,0
1407,0
1408,0
1409,1
1410,0
1411,0
1412,0
1413,1
1414,0
1415,0
1416,0
1417,1
1418,1
1419,1
1420,0
1421,0
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,0
1429,0
1430,1
1431,0
1432,1
1433,1
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,0
1441,1
1442,1
1443,1
1444,0
1445,1
1446,1
1447,0
1448,1
1449,1
1450,1
1451,1
1452,0
1453,1
1454,1
1455,1
1456,1
1457,0
1458,1
1459,1
1460,0
1461,0
1462,1
1463,1
1464,1
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,1
1483,1
1484,0
1485,0
1486,0
1487,0
1488,1
1489,0
1490,1
1491,0
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,0
1500,1
1501,0
1502,1
1503,0
1504,0
1505,0
1506,1
1507,1
1508,0
1509,0
1510,0
1511,1
1512,0
1513,1
1514,1
1515,1
1516,0
1517,0
1518,1
1519,1
1520,0
1521,1
1522,1
1523,0
1524,1
1525,1
1526,1
1527,0
1528,0
1529,1
1530,1
1531,0
1532,1
1533,0
1534,0
1535,0
1536,1
1537,1
1538,1
1539,1
1540,0
1541,1
1542,1
1543,1
1544,1
1545,0
1546,0
1547,0
1548,0
1549,1
1550,0
1551,0
1552,1
1553,0
1554,1
1555,1
1556,1
1557,1
1558,0
1559,1
1560,0
1561,0
1562,0
1563,1
1564,0
1565,1
1566,0
1567,1
1568,0
1569,1
1570,1
1571,0
1572,1
1573,1
1574,1
1575,1
1576,0
1577,1
1578,1
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,1
1594,1
1595,0
1596,0
1597,0
1598,1
1599,1
1600,1
1601,0
1602,1
1603,0
1604,1
1605,0
1606,0
1607,1
1608,0
1609,0
1610,0
1611,1
1612,1
1613,1
1614,0
1615,0
1616,1
1617,0
1618,1
1619,1
1620,0
1621,0
1622,1
1623,0
1624,0
1625,0
1626,1
1627,1
1628,1
1629,0
1630,1
1631,1
1632,0
1633,1
1634,0
1635,0
1636,1
1637,1
1638,0
1639,1
1640,0
1641,0
1642,0
1643,1
1644,0
1645,0
1646,0
1647,0
1648,1
1649,0
1650,1
1651,0
1652,1
1653,0
1654,1
1655,0
1656,1
1657,0
1658,0
1659,0
1660,0
1661,1
1662,1
1663,0
1664,1
1665,0
1666,0
1667,1
1668,1
1669,0
1670,1
1671,1
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,1
1680,1
1681,1
1682,0
1683,1
1684,1
1685,0
1686,1
1687,0
1688,1
1689,1
1690,0
1691,1
1692,0
1693,1
1694,1
1695,0
1696,0
1697,1
1698,1
1699,0
1700,1
1701,1
1702,0
1703,0
1704,0
1705,0
1706,1
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,1
1715,0
1716,0
1717,0
1718,0
1719,0
1720,1
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,1
1729,1
1730,0
1731,0
1732,1
1733,0
1734,0
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,0
1742,0
1743,1
1744,0
1745,1
1746,1
1747,0
1748,1
1749,1
1750,1
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,0
1758,0
1759,1
1760,0
1761,0
1762,0
1763,1
1764,0
1765,1
1766,1
1767,0
1768,1
1769,0
1770,0
1771,1
1772,1
1773,1
1774,1
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,1
1783,0
1784,1
1785,1
1786,0
1787,0
1788,1
1789,1
1790,0
1791,0
1792,1
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1799,0
1800,1
1801,0
1802,0
1803,1
1804,0
1805,0
1806,1
1807,1
1808,1
1809,0
1810,1
1811,1
1812,1
1813,1
1814,0
1815,1
1816,0
1817,0
1818,1
1819,1
1820,0
1821,0
1822,0
1823,0
1824,1
1825,0
1826,0
1827,1
1828,1
1829,0
1830,1
1831,0
1832,1
1833,1
1834,1
1835,1
1836,1
1837,0
1838,0
1839,0
1840,1
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,1
1849,1
1850,1
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,1
1861,0
1862,1
1863,1
1864,1
1865,1
1866,0
1867,0
1868,1
1869,1
1870,0
1871,1
1872,0
1873,0
1874,0
1875,0
1876,1
1877,1
1878,1
1879,1
1880,0
1881,1
1882,0
1883,1
1884,1
1885,0
1886,0
1887,1
1888,1
1889,1
1890,0
1891,0
1892,1
1893,0
1894,1
1895,1
1896,0
1897,0
1898,1
1899,1
1900,0
1901,1
1902,1
1903,1
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,1
1918,0
1919,0
1920,0
1921,0
1922,0
1923,1
1924,1
1925,0
1926,1
1927,1
1928,0
1929,0
1930,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,0
1937,0
1938,0
1939,0
1940,0
1941,1
1942,0
1943,1
1944,1
1945,1
1946,1
1947,1
1948,0
1949,0
1950,0
1951,1
1952,1
1953,0
1954,0
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,0
1962,1
1963,1
1964,1
1965,1
1966,0
1967,0
1968,1
1969,0
1970,0
1971,0
1972,0
1973,0
1974,1
1975,0
1976,0
1977,1
1978,0
1979,0
1980,1
1981,0
1982,1
1983,1
1984,1
1985,0
1986,0
1987,0
1988,1
1989,0
1990,1
1991,1
1992,1
1993,0
1994,0
1995,0
1996,0
1997,1
1998,0
1999,0
2000,0
2001,1
2002,1
2003,1
2004,0
2005,1
2006,1
2007,0
2008,0
2009,1
2010,0
2011,1
2012,0
2013,1
2014,0
2015,1
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,1
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,1
2034,0
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,1
2042,0
2043,0
2044,0
2045,1
2046,1
2047,0
2048,0
2049,1
2050,0
2051,1
2052,0
2053,1
2054,1
2055,0
2056,1
2057,1
2058,1
2059,0
2060,0
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,0
2068,0
2069,1
2070,1
2071,0
2072,1
2073,1
2074,1
2075,1
2076,0
2077,1
2078,0
2079,0
2080,1
2081,1
2082,0
2083,0
2084,0
2085,0
2086,1
2087,0
2088,0
2089,0
2090,1
2091,1
2092,1
2093,1
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,1
2104,0
2105,1
2106,1
2107,0
2108,0
2109,1
2110,0
2111,1
2112,0
2113,0
2114,0
2115,0
2116,1
2117,0
2118,0
2119,0
2120,0
2121,0
2122,1
2123,0
2124,0
2125,1
2126,0
2127,1
2128,0
2129,1
2130,1
2131,0
2132,0
2133,1
2134,0
2135,1
2136,0
2137,1
2138,0
2139,1
2140,0
2141,0
2142,1
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,1
2151,0
2152,1
2153,0
2154,0
2155,1
2156,1
2157,1
2158,0
2159,0
2160,0
2161,1
2162,1
2163,0
2164,1
2165,0
2166,0
2167,0
2168,1
2169,0
2170,1
2171,0
2172,1
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,1
2183,0
2184,1
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,1
2197,0
2198,1
2199,0
2200,1
2201,0
2202,0
2203,0
2204,1
2205,1
2206,0
2207,0
2208,1
2209,0
2210,0
2211,0
2212,0
2213,1
2214,0
2215,0
2216,0
2217,0
2218,1
2219,0
2220,1
2221,1
2222,0
2223,0
2224,0
2225,1
2226,0
2227,0
2228,0
2229,1
2230,1
2231,0
2232,1
2233,1
2234,0
2235,0
2236,0
2237,0
2238,0
2239,1
2240,0
2241,0
2242,1
2243,0
2244,0
2245,1
2246,0
2247,1
2248,1
2249,0
2250,1
2251,0
2252,1
2253,0
2254,0
2255,0
2256,0
2257,1
2258,0
2259,1
2260,0
2261,1
2262,1
2263,1
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,1
2271,1
2272,0
2273,0
2274,0
2275,1
2276,0
2277,1
2278,0
2279,0
2280,1
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,1
2293,0
2294,0
2295,1
2296,1
2297,1
2298,0
2299,1
2300,1
2301,0
2302,0
2303,1
2304,0
2305,1
2306,1
2307,0
2308,1
2309,0
2310,0
2311,0
2312,1
2313,0
2314,0
2315,1
2316,1
2317,1
2318,1
2319,0
2320,1
2321,0
2322,1
2323,0
2324,1
2325,1
2326,0
2327,0
2328,0
2329,1
2330,0
2331,1
2332,0
2333,1
2334,0
2335,0
2336,0
2337,1
2338,0
2339,0
2340,0
2341,0
2342,1
2343,1
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,0
2351,1
2352,0
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,1
2365,0
2366,0
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,0
2374,0
2375,0
2376,0
2377,0
2378,1
2379,0
2380,1
2381,0
2382,0
2383,0
2384,1
2385,1
2386,1
2387,0
2388,0
2389,0
2390,0
2391,1
2392,1
2393,0
2394,0
2395,0
2396,1
2397,1
2398,0
2399,1
2400,0
2401,1
2402,0
2403,1
2404,1
2405,0
2406,1
2407,0
2408,1
2409,1
2410,1
2411,1
2412,0
2413,1
2414,1
2415,1
2416,0
2417,0
2418,1
2419,1
2420,1
2421,0
2422,1
2423,0
2424,0
2425,0
2426,1
2427,0
2428,1
2429,1
2430,0
2431,0
2432,1
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,1
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,1
2449,0
2450,0
2451,0
2452,1
2453,0
2454,1
2455,0
2456,1
2457,1
2458,1
2459,0
2460,0
2461,1
2462,0
2463,0
2464,1
2465,1
2466,1
2467,1
2468,1
2469,0
2470,1
2471,1
2472,0
2473,0
2474,1
2475,0
2476,0
2477,1
2478,1
2479,1
2480,0
2481,0
2482,0
2483,0
2484,1
2485,0
2486,0
2487,1
2488,1
2489,1
2490,1
2491,0
2492,0
2493,0
2494,0
2495,1
2496,1
2497,1
2498,0
2499,1
2500,1
2501,1
2502,0
2503,1
2504,0
2505,0
2506,1
2507,1
2508,1
2509,1
2510,1
2511,0
2512,1
2513,0
2514,0
2515,1
2516,0
2517,1
2518,0
2519,1
2520,0
2521,0
2522,1
2523,1
2524,0
2525,0
2526,1
2527,0
2528,0
2529,1
2530,1
2531,1
2532,1
2533,1
2534,0
2535,0
2536,0
2537,1
2538,1
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,1
2546,0
2547,0
2548,1
2549,1
2550,1
2551,0
2552,0
2553,0
2554,1
2555,0
2556,0
2557,1
2558,1
2559,1
2560,0
2561,0
2562,1
2563,0
2564,0
2565,0
2566,1
2567,0
2568,1
2569,1
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,1
2578,1
2579,0
2580,0
2581,1
2582,0
2583,1
2584,1
2585,0
2586,1
2587,0
2588,0
2589,1
2590,1
2591,0
2592,1
2593,0
2594,1
2595,1
2596,0
2597,0
2598,1
2599,0
2600,0
2601,1
2602,1
2603,1
2604,0
2605,0
2606,0
2607,0
2608,0
2609,1
2610,1
2611,0
2612,1
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,1
2623,0
2624,1
2625,1
2626,1
2627,1
2628,0
2629,0
2630,1
2631,1
2632,0
2633,0
2634,1
2635,1
2636,0
2637,0
2638,0
2639,0
2640,0
2641,1
2642,1
2643,0
2644,0
2645,0
2646,1
2647,0
2648,0
2649,1
2650,1
2651,0
2652,0
2653,1
2654,0
2655,1
2656,1
2657,1
2658,0
2659,0
2660,0
2661,1
2662,0
2663,0
2664,0
2665,0
2666,1
2667,1
2668,0
2669,0
2670,0
2671,0
2672,1
2673,0
2674,0
2675,1
2676,1
2677,0
2678,0
2679,0
2680,1
2681,0
2682,0
2683,0
2684,1
2685,1
2686,0
2687,0
2688,0
2689,0
2690,0
2691,1
2692,1
2693,1
2694,1
2695,0
2696,0
2697,0
2698,0
2699,1
2700,1
2701,1
2702,1
2703,0
2704,0
2705,0
2706,0
2707,1
2708,1
2709,1
2710,0
2711,1
2712,1
2713,1
2714,0
2715,1
2716,1
2717,0
2718,1
2719,0
2720,0
2721,0
2722,1
2723,0
2724,1
2725,0
2726,0
2727,1
2728,0
2729,1
2730,1
2731,1
2732,1
2733,0
2734,0
2735,0
2736,1
2737,0
2738,1
2739,0
2740,1
2741,0
2742,0
2743,1
2744,0
2745,0
2746,1
2747,0
2748,1
2749,1
2750,1
2751,1
2752,1
2753,0
2754,0
2755,0
2756,1
2757,1
2758,1
2759,0
2760,0
2761,1
2762,0
2763,1
2764,1
2765,0
2766,1
2767,0
2768,1
2769,0
2770,1
2771,1
2772,0
2773,0
2774,1
2775,1
2776,0
2777,1
2778,0
2779,0
2780,1
2781,1
2782,0
2783,0
2784,0
2785,1
2786,1
2787,0
2788,1
2789,1
2790,1
2791,0
2792,1
2793,1
2794,1
2795,0
2796,0
2797,0
2798,0
2799,0
2800,1
2801,0
2802,1
2803,0
2804,1
2805,0
2806,0
2807,0
2808,0
2809,1
2810,1
2811,0
2812,1
2813,0
2814,1
2815,0
2816,0
2817,0
2818,1
2819,0
2820,0
2821,0
2822,0
2823,1
2824,1
2825,0
2826,0
2827,1
2828,1
2829,0
2830,0
2831,0
2832,1
2833,0
2834,1
2835,1
2836,0
2837,0
2838,0
2839,1
2840,0
2841,1
2842,0
2843,0
2844,0
2845,1
2846,1
2847,0
2848,1
2849,0
2850,1
2851,1
2852,0
2853,0
2854,0
2855,1
2856,1
2857,0
2858,0
2859,1
2860,1
2861,0
2862,1
2863,1
2864,0
2865,1
2866,1
2867,0
2868,1
2869,0
2870,0
2871,1
2872,1
2873,0
2874,0
2875,0
2876,1
2877,0
2878,1
2879,0
2880,0
2881,0
2882,1
2883,1
2884,0
2885,0
2886,1
2887,1
2888,1
2889,0
2890,0
2891,0
2892,1
2893,0
2894,1
2895,0
2896,0
2897,0
2898,0
2899,1
2900,1
2901,0
2902,1
2903,1
2904,0
2905,1
2906,0
2907,0
2908,1
2909,1
2910,1
2911,0
2912,1
2913,0
2914,1
2915,1
2916,0
2917,1
2918,0
2919,1
2920,0
2921,0
2922,0
2923,0
2924,0
2925,0
2926,1
2927,0
2928,1
2929,1
2930,1
2931,1
2932,0
2933,1
2934,0
2935,0
2936,1
2937,0
2938,1
2939,1
2940,0
2941,0
2942,0
2943,1
2944,0
2945,0
2946,0
2947,0
2948,0
2949,0
2950,1
2951,0
2952,1
2953,1
2954,1
2955,0
2956,1
2957,0
2958,0
2959,1
2960,0
2961,0
2962,0
2963,0
2964,1
2965,0
2966,0
2967,1
2968,0
2969,0
2970,0
2971,1
2972,0
2973,0
2974,0
2975,0
2976,0
2977,1
2978,0
2979,0
2980,0
2981,1
2982,1
2983,0
2984,0
2985,0
2986,0
2987,0
2988,1
2989,0
2990,1
2991,0
2992,1
2993,0
2994,0
2995,1
2996,0
