,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
30035,0.889577288,47,0,0.092590741,10000.0,4,0,0,0,0.0
149130,0.476277725,57,0,0.470056826,6862.0,9,0,1,0,2.0
44929,0.01303833,58,0,0.119152138,7972.0,9,0,1,0,4.0
49590,0.550041756,74,0,0.591140729,2550.0,6,0,1,0,0.0
87353,0.007452064,67,0,0.179498657,11169.0,8,0,1,0,0.0
22453,0.015478394,52,0,0.253856702,5833.0,13,0,2,0,1.0
40867,0.019965486,50,0,0.420782209,13039.0,7,0,1,0,1.0
41779,0.827052558,36,0,0.220602527,4115.0,8,0,0,0,2.0
41556,0.489219424,76,0,0.388200714,4762.0,9,0,2,0,0.0
100216,0.061702167,62,0,0.229876543,8099.0,11,0,1,0,1.0
62216,0.002699865,58,0,0.631947338,12000.0,10,0,4,0,1.0
53163,0.545028436,29,0,0.369984568,5183.0,9,0,2,0,0.0
73508,0.629206569,59,0,0.536743876,6000.0,9,0,2,0,0.0
15755,0.179705158,61,0,0.317041634,11600.0,16,0,2,0,0.0
5329,0.149935484,34,0,0.473755965,4400.0,12,0,2,0,3.0
5846,0.070110701,56,0,0.410285714,5249.0,8,0,1,0,0.0
61490,0.0,45,0,0.0,7383.0,7,0,0,0,0.0
3068,0.265655598,36,0,0.237817576,2400.0,4,0,0,0,0.0
74491,0.055565463,52,0,0.111947319,3188.0,9,0,0,0,1.0
92834,0.538661117,66,0,0.454368589,5653.0,11,0,1,0,0.0
63066,0.486691826,61,0,0.427178899,6975.0,10,0,2,0,0.0
108362,0.002883871,56,0,0.096736254,3400.0,23,0,0,0,0.0
133881,0.901690074,32,3,0.415541133,5700.0,6,0,1,0,1.0
18166,0.089372747,61,0,0.034884965,9344.0,14,0,0,0,0.0
49028,0.675071733,50,0,1.035990582,2972.0,6,0,2,0,1.0
59424,0.035461159,61,0,0.130791951,10833.0,7,0,1,0,0.0
113339,0.321919231,59,0,0.383632241,4850.0,7,0,1,0,0.0
11593,0.490657176,51,0,0.643726046,6000.0,11,0,2,0,2.0
129048,0.417002,36,0,0.136295929,12083.0,5,0,0,0,3.0
137550,0.685088813,39,0,0.246402982,17166.0,12,0,1,0,2.0
55613,0.013550274,67,0,0.31217968,6633.0,13,0,2,0,1.0
98563,0.001523785,86,0,0.115358245,5833.0,14,0,0,0,0.0
68129,0.379690578,50,0,0.49241764,5736.0,13,0,1,0,2.0
35157,0.04316058,49,0,0.236101853,7500.0,10,0,2,0,5.0
132188,0.0,72,1,0.316943015,5246.0,7,0,1,0,0.0
31571,0.019658738,60,0,0.276516906,8635.0,9,0,1,0,0.0
143370,0.9999999,37,2,0.16297043,2975.0,1,1,0,1,1.0
125290,0.020940766,75,0,0.152082918,5016.0,14,0,1,0,0.0
53179,0.890103362,52,0,0.243957573,5750.0,5,1,0,0,0.0
111938,0.863713275,30,0,1.33735303,3316.0,14,0,2,0,0.0
10766,0.01392649,86,0,0.0094392,1800.0,3,0,0,0,0.0
32060,0.737616366,34,1,0.276757072,3428.0,5,5,0,0,3.0
83603,0.9999999,49,0,0.3837687,12900.0,5,0,1,0,2.0
45497,0.017443164,79,0,0.001272412,8644.0,4,0,0,0,1.0
11568,0.009605653,65,0,0.271490507,6688.0,5,0,1,0,0.0
118514,0.035487822,61,0,0.559755545,4417.0,14,0,1,0,0.0
115614,0.250383915,58,0,0.029653519,35037.0,6,0,1,0,0.0
97707,0.0,36,2,0.228552771,12250.0,9,0,2,1,0.0
147258,0.038453386,69,0,0.1916008,10500.0,15,0,1,0,0.0
64112,0.304710654,65,0,0.219307097,2972.0,6,0,0,0,0.0
82772,0.006098161,55,0,0.279549521,9500.0,6,0,3,0,1.0
62012,0.458643669,37,0,0.013994402,2500.0,2,0,0,0,2.0
129863,0.051983302,48,0,0.170259609,10900.0,5,0,2,0,1.0
104819,0.006928448,69,0,0.300792577,10345.0,14,0,2,0,1.0
114291,0.010680737,31,0,0.022391213,7100.0,19,0,0,0,0.0
8496,0.366907137,89,0,0.462257537,4278.0,20,0,2,0,0.0
63861,0.0,40,0,0.013607331,3600.0,1,1,0,0,4.0
54076,0.238798508,62,0,0.134429098,16000.0,8,0,1,0,2.0
76301,0.351911099,51,0,0.516336369,5600.0,15,0,3,0,3.0
15473,0.237322721,57,1,0.443962216,11750.0,8,0,2,0,0.0
5415,0.116361141,52,1,0.181708421,6625.0,10,1,1,0,1.0
11802,0.004053835,52,2,1.390801314,7000.0,13,0,5,1,2.0
