,class
341,Good
343,Good
344,Good
347,Good
348,Good
349,Bad
351,Bad
353,Bad
354,Good
355,Bad
357,Bad
359,Bad
360,Good
361,Good
362,Good
365,Good
366,Good
367,Good
368,Bad
369,Good
370,Good
371,Good
372,Good
373,Good
374,Bad
375,Bad
376,Good
377,Good
378,Bad
379,Good
381,Bad
382,Good
383,Good
384,Good
385,Good
386,Good
387,Good
388,Good
389,Good
390,Good
391,Good
392,Good
393,Good
394,Good
395,Good
396,Good
397,Good
398,Bad
400,Good
401,Good
403,Good
404,Good
405,Bad
407,Good
408,Good
410,Good
411,Good
412,Bad
413,Good
414,Bad
415,Good
417,Good
418,Good
419,Bad
421,Good
422,Good
423,Good
424,Bad
426,Good
427,Good
428,Good
429,Bad
430,Good
431,Bad
432,Good
433,Good
435,Bad
437,Good
438,Good
439,Bad
441,Good
442,Good
444,Bad
445,Good
446,Bad
448,Good
449,Bad
450,Good
451,Good
452,Good
453,Good
454,Bad
455,Good
456,Good
457,Bad
458,Good
459,Good
460,Good
461,Good
463,Good
464,Good
466,Bad
467,Good
468,Good
469,Good
470,Bad
472,Bad
473,Good
475,Bad
476,Good
480,Good
481,Good
482,Good
483,Good
485,Bad
486,Good
487,Good
488,Good
489,Good
490,Good
492,Good
493,Good
494,Good
495,Bad
496,Bad
497,Good
498,Good
499,Good
501,Good
502,Good
504,Bad
505,Bad
507,Bad
508,Good
509,Good
510,Bad
511,Good
512,Good
513,Good
514,Good
515,Good
517,Bad
519,Good
520,Good
523,Good
525,Good
528,Bad
529,Good
530,Good
531,Bad
532,Good
533,Good
534,Good
536,Good
537,Good
539,Good
540,Bad
541,Good
542,Bad
543,Bad
544,Good
545,Bad
546,Good
547,Good
549,Good
550,Good
551,Good
552,Bad
553,Good
554,Good
555,Bad
556,Bad
558,Bad
559,Bad
560,Good
561,Bad
562,Good
563,Bad
564,Good
565,Good
566,Bad
567,Good
568,Good
569,Bad
570,Bad
572,Good
573,Good
574,Good
575,Good
576,Good
577,Good
578,Bad
579,Good
580,Bad
581,Good
582,Good
583,Bad
584,Good
586,Good
587,Good
589,Bad
591,Good
593,Bad
594,Bad
595,Bad
596,Bad
597,Bad
598,Bad
599,Good
600,Good
601,Bad
603,Bad
605,Good
606,Good
607,Bad
608,Good
609,Good
610,Bad
611,Bad
613,Good
614,Bad
615,Good
616,Good
617,Good
618,Bad
619,Good
621,Bad
623,Good
624,Bad
625,Good
626,Good
627,Bad
628,Good
629,Good
630,Good
631,Bad
632,Good
633,Bad
634,Bad
635,Good
636,Good
637,Good
638,Good
639,Bad
640,Bad
642,Bad
643,Good
644,Good
645,Bad
646,Good
647,Bad
648,Bad
649,Bad
651,Bad
652,Bad
653,Bad
654,Good
655,Good
656,Bad
657,Good
659,Good
660,Good
661,Bad
662,Good
663,Good
664,Good
665,Good
666,Good
668,Bad
669,Good
671,Good
672,Good
673,Good
674,Bad
675,Good
676,Good
677,Bad
678,Good
679,Good
681,Good
682,Good
683,Good
684,Good
685,Good
686,Good
688,Good
689,Good
690,Good
691,Good
692,Good
693,Good
694,Good
696,Good
697,Good
698,Good
699,Good
701,Bad
702,Good
703,Good
704,Good
705,Good
706,Bad
707,Bad
708,Good
709,Good
710,Good
712,Good
713,Good
714,Bad
715,Good
716,Good
717,Good
719,Good
720,Bad
721,Bad
722,Bad
723,Good
726,Good
727,Bad
728,Bad
729,Good
730,Good
732,Good
733,Good
734,Good
735,Good
736,Bad
737,Good
738,Good
739,Bad
740,Good
741,Good
742,Good
743,Good
744,Good
747,Bad
749,Good
751,Bad
753,Good
754,Bad
755,Bad
756,Good
757,Bad
758,Good
759,Bad
760,Good
761,Bad
762,Good
763,Bad
764,Good
767,Good
768,Good
769,Good
770,Good
771,Bad
772,Good
773,Good
774,Good
775,Bad
776,Good
777,Good
778,Good
779,Good
780,Bad
781,Good
782,Good
783,Bad
784,Good
785,Good
787,Good
788,Bad
789,Bad
790,Bad
791,Good
793,Good
795,Good
796,Bad
797,Good
799,Good
800,Good
801,Good
802,Good
803,Good
804,Good
806,Good
807,Good
810,Good
812,Bad
813,Bad
815,Good
816,Good
819,Bad
820,Good
821,Good
822,Bad
823,Good
824,Good
825,Good
826,Bad
828,Bad
829,Good
830,Good
831,Bad
832,Bad
833,Good
834,Bad
835,Bad
836,Good
838,Good
839,Good
840,Bad
841,Good
842,Bad
843,Good
844,Good
845,Good
846,Bad
847,Good
849,Bad
850,Bad
851,Good
853,Bad
854,Good
855,Good
858,Bad
859,Good
860,Good
861,Bad
862,Bad
864,Bad
866,Good
868,Good
869,Good
870,Good
871,Good
872,Good
873,Good
874,Good
876,Good
877,Good
878,Bad
879,Good
880,Good
881,Good
882,Good
883,Good
885,Bad
886,Good
887,Bad
888,Good
889,Good
890,Good
891,Good
892,Good
893,Good
896,Good
897,Good
898,Good
900,Bad
901,Good
902,Good
903,Good
904,Good
906,Good
907,Good
908,Good
909,Good
910,Good
911,Bad
912,Good
914,Bad
916,Good
917,Bad
918,Bad
919,Bad
921,Good
922,Bad
923,Good
925,Bad
926,Good
927,Bad
928,Good
930,Good
931,Bad
932,Good
933,Good
935,Bad
936,Bad
937,Good
939,Good
941,Good
942,Good
943,Good
945,Good
946,Bad
947,Good
948,Bad
949,Bad
950,Good
951,Bad
953,Bad
954,Good
955,Good
957,Good
958,Bad
961,Good
962,Good
965,Good
966,Bad
967,Good
968,Good
970,Good
971,Good
972,Bad
973,Bad
974,Good
975,Good
976,Good
977,Good
978,Bad
980,Bad
981,Bad
982,Good
983,Bad
985,Good
986,Good
987,Good
988,Good
989,Good
990,Good
993,Good
994,Good
995,Good
996,Good
997,Good
999,Good
