,class
755,Bad
756,Good
758,Good
759,Bad
761,Bad
762,Good
763,Bad
764,Good
765,Good
766,Bad
768,Good
770,Good
771,Bad
772,Good
774,Good
775,Bad
776,Good
777,Good
778,Good
779,Good
781,Good
782,Good
786,Good
787,Good
791,Good
792,Good
793,Good
794,Good
797,Good
798,Good
799,Good
800,Good
801,Good
802,Good
803,Good
804,Good
805,Bad
806,Good
807,Good
808,Good
809,Bad
810,Good
811,Good
812,Bad
813,Bad
814,Bad
815,Good
816,Good
817,Good
818,Good
820,Good
821,Good
822,Bad
824,Good
825,Good
827,Bad
828,Bad
829,Good
830,Good
831,Bad
833,Good
835,Bad
836,Good
837,Good
838,Good
839,Good
840,Bad
841,Good
842,Bad
843,Good
845,Good
846,Bad
847,Good
848,Good
849,Bad
850,Bad
851,Good
852,Good
853,Bad
854,Good
855,Good
856,Good
857,Good
858,Bad
861,Bad
863,Good
865,Good
866,Good
867,Good
868,Good
869,Good
870,Good
871,Good
872,Good
875,Good
877,Good
878,Bad
879,Good
880,Good
881,Good
882,Good
884,Bad
885,Bad
887,Bad
888,Good
889,Good
890,Good
891,Good
892,Good
893,Good
894,Good
895,Good
896,Good
897,Good
898,Good
899,Bad
900,Bad
901,Good
903,Good
905,Good
907,Good
908,Good
910,Good
911,Bad
912,Good
913,Good
914,Bad
915,Bad
916,Good
917,Bad
919,Bad
920,Good
921,Good
924,Bad
925,Bad
928,Good
929,Good
930,Good
931,Bad
932,Good
933,Good
934,Good
935,Bad
936,Bad
937,Good
938,Bad
940,Good
941,Good
943,Good
944,Good
947,Good
948,Bad
949,Bad
950,Good
951,Bad
952,Bad
953,Bad
954,Good
955,Good
956,Good
959,Good
960,Good
961,Good
962,Good
963,Bad
964,Good
965,Good
966,Bad
967,Good
968,Good
969,Good
970,Good
972,Bad
973,Bad
974,Good
976,Good
977,Good
978,Bad
979,Bad
980,Bad
981,Bad
983,Bad
984,Good
985,Good
988,Good
991,Good
992,Good
994,Good
995,Good
997,Good
998,Bad
