,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
22952,35,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40
29317,33,Private,12th,Married-civ-spouse,Protective-serv,Husband,White,Male,40
640,26,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,55
25646,36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Other,Male,40
46896,61,Private,Assoc-acdm,Widowed,Machine-op-inspct,Unmarried,Black,Female,40
43514,41,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40
2395,25,Private,12th,Never-married,Machine-op-inspct,Not-in-family,White,Male,40
37067,23,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,53
35315,27,Private,11th,Never-married,Sales,Not-in-family,White,Male,35
172,51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40
21026,46,Private,11th,Divorced,Handlers-cleaners,Unmarried,Black,Female,40
26644,54,Self-emp-not-inc,10th,Divorced,Other-service,Not-in-family,Black,Female,10
11927,36,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,35
34729,45,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50
790,48,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,50
40482,45,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40
37500,36,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,10
2606,21,?,Some-college,Never-married,?,Own-child,White,Male,50
44425,40,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40
20789,56,Private,9th,Widowed,Machine-op-inspct,Unmarried,White,Female,40
22610,38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40
44330,33,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,75
11752,54,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40
12858,20,?,HS-grad,Never-married,?,Own-child,White,Male,25
22235,32,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40
17581,49,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,40
11260,54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40
634,58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60
10409,39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40
43378,50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60
31067,47,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40
25099,22,?,HS-grad,Never-married,?,Not-in-family,White,Female,40
32035,40,Private,Preschool,Married-civ-spouse,Other-service,Husband,White,Male,40
23367,28,Private,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40
32750,22,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,45
25471,43,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45
36315,40,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,72
14912,45,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,35
7362,34,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40
37034,32,State-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,20
21031,22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15
4124,25,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,38
19963,30,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,35
37721,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50
8397,34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40
42434,62,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
3021,57,Private,Prof-school,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40
11450,47,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
24199,59,Private,Masters,Widowed,Exec-managerial,Not-in-family,White,Female,40
22584,21,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,60
15321,24,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40
33480,21,Local-gov,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,36
45048,50,Private,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Male,50
15295,33,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40
7105,46,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,50
29437,43,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,40
39523,51,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,38
32279,36,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40
35149,24,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Female,40
44550,48,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,60
38963,81,Self-emp-inc,HS-grad,Widowed,Sales,Not-in-family,White,Female,40
12314,26,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40
43955,21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,25
45394,37,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,38
5206,22,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,25
13019,49,State-gov,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,44
30965,54,Local-gov,HS-grad,Widowed,Other-service,Unmarried,Black,Female,40
7879,51,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40
39885,56,Self-emp-inc,9th,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40
9381,20,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40
38657,50,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,48
27842,24,Private,Some-college,Never-married,Sales,Own-child,White,Female,20
9488,38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40
