,class
321,Bad
323,Good
324,Good
325,Good
327,Good
328,Good
330,Good
331,Bad
332,Bad
333,Bad
334,Bad
335,Bad
337,Bad
338,Good
339,Good
342,Good
343,Good
344,Good
345,Good
346,Good
350,Good
351,Bad
352,Good
353,Bad
354,Good
355,Bad
356,Good
358,Good
359,Bad
360,Good
361,Good
362,Good
363,Good
364,Bad
365,Good
366,Good
367,Good
368,Bad
369,Good
370,Good
371,Good
372,Good
373,Good
374,Bad
375,Bad
377,Good
378,Bad
379,Good
380,Good
382,Good
383,Good
384,Good
385,Good
386,Good
387,Good
388,Good
389,Good
390,Good
391,Good
392,Good
395,Good
396,Good
397,Good
398,Bad
399,Good
400,Good
401,Good
402,Bad
403,Good
404,Good
406,Good
407,Good
408,Good
409,Bad
410,Good
411,Good
412,Bad
413,Good
415,Good
416,Bad
417,Good
418,Good
419,Bad
420,Good
422,Good
423,Good
424,Bad
425,Good
427,Good
428,Good
430,Good
431,Bad
432,Good
434,Good
435,Bad
436,Good
439,Bad
440,Good
441,Good
442,Good
443,Bad
444,Bad
447,Good
448,Good
450,Good
451,Good
452,Good
453,Good
454,Bad
456,Good
457,Bad
458,Good
459,Good
460,Good
461,Good
462,Good
465,Good
466,Bad
467,Good
468,Good
471,Bad
472,Bad
473,Good
474,Bad
475,Bad
476,Good
477,Good
478,Good
479,Good
481,Good
482,Good
483,Good
484,Good
485,Bad
486,Good
487,Good
488,Good
489,Good
491,Bad
492,Good
493,Good
494,Good
495,Bad
496,Bad
497,Good
499,Good
500,Bad
501,Good
502,Good
503,Bad
505,Bad
506,Good
510,Bad
511,Good
512,Good
513,Good
515,Good
516,Good
518,Good
519,Good
520,Good
521,Bad
522,Bad
523,Good
524,Good
526,Good
527,Good
528,Bad
529,Good
530,Good
531,Bad
532,Good
533,Good
535,Bad
537,Good
538,Bad
542,Bad
543,Bad
544,Good
545,Bad
546,Good
548,Bad
549,Good
550,Good
551,Good
553,Good
554,Good
555,Bad
557,Bad
558,Bad
559,Bad
560,Good
561,Bad
562,Good
564,Good
565,Good
566,Bad
567,Good
568,Good
569,Bad
571,Good
572,Good
574,Good
576,Good
577,Good
578,Bad
580,Bad
581,Good
582,Good
583,Bad
585,Bad
587,Good
588,Bad
589,Bad
590,Good
592,Good
594,Bad
596,Bad
597,Bad
598,Bad
599,Good
600,Good
601,Bad
602,Bad
603,Bad
604,Good
605,Good
606,Good
607,Bad
608,Good
609,Good
610,Bad
611,Bad
612,Good
613,Good
614,Bad
615,Good
617,Good
618,Bad
619,Good
620,Good
621,Bad
622,Bad
624,Bad
625,Good
626,Good
627,Bad
629,Good
630,Good
631,Bad
632,Good
633,Bad
634,Bad
635,Good
636,Good
637,Good
638,Good
639,Bad
640,Bad
641,Good
642,Bad
643,Good
644,Good
646,Good
647,Bad
648,Bad
650,Good
652,Bad
653,Bad
654,Good
656,Bad
658,Good
659,Good
660,Good
661,Bad
664,Good
666,Good
667,Good
670,Good
671,Good
672,Good
675,Good
676,Good
677,Bad
679,Good
680,Good
681,Good
683,Good
684,Good
685,Good
687,Good
688,Good
689,Good
690,Good
691,Good
692,Good
693,Good
695,Good
696,Good
697,Good
698,Good
699,Good
700,Bad
702,Good
704,Good
705,Good
706,Bad
707,Bad
708,Good
709,Good
710,Good
711,Bad
713,Good
714,Bad
717,Good
718,Good
719,Good
721,Bad
722,Bad
723,Good
724,Bad
725,Good
729,Good
731,Bad
732,Good
733,Good
734,Good
736,Bad
737,Good
738,Good
739,Bad
740,Good
741,Good
742,Good
745,Good
746,Good
748,Good
749,Good
750,Good
751,Bad
752,Good
753,Good
754,Bad
755,Bad
756,Good
757,Bad
758,Good
759,Bad
760,Good
761,Bad
762,Good
763,Bad
765,Good
766,Bad
767,Good
768,Good
769,Good
770,Good
773,Good
774,Good
775,Bad
777,Good
778,Good
779,Good
780,Bad
781,Good
782,Good
783,Bad
784,Good
785,Good
786,Good
788,Bad
789,Bad
790,Bad
791,Good
792,Good
794,Good
795,Good
796,Bad
797,Good
798,Good
799,Good
801,Good
802,Good
803,Good
804,Good
805,Bad
806,Good
808,Good
809,Bad
811,Good
812,Bad
813,Bad
814,Bad
815,Good
816,Good
817,Good
818,Good
819,Bad
820,Good
822,Bad
823,Good
825,Good
826,Bad
827,Bad
829,Good
830,Good
831,Bad
832,Bad
834,Bad
835,Bad
836,Good
837,Good
841,Good
844,Good
845,Good
846,Bad
847,Good
848,Good
849,Bad
850,Bad
851,Good
852,Good
853,Bad
855,Good
856,Good
857,Good
858,Bad
859,Good
860,Good
861,Bad
862,Bad
863,Good
864,Bad
865,Good
867,Good
868,Good
869,Good
870,Good
872,Good
873,Good
874,Good
875,Good
876,Good
877,Good
878,Bad
882,Good
883,Good
884,Bad
885,Bad
886,Good
887,Bad
888,Good
891,Good
892,Good
894,Good
895,Good
896,Good
897,Good
898,Good
899,Bad
901,Good
902,Good
904,Good
905,Good
906,Good
907,Good
908,Good
909,Good
910,Good
912,Good
913,Good
915,Bad
916,Good
918,Bad
919,Bad
920,Good
921,Good
922,Bad
923,Good
924,Bad
926,Good
927,Bad
929,Good
930,Good
932,Good
934,Good
935,Bad
936,Bad
938,Bad
939,Good
940,Good
942,Good
943,Good
944,Good
945,Good
946,Bad
947,Good
948,Bad
949,Bad
950,Good
951,Bad
952,Bad
956,Good
957,Good
958,Bad
959,Good
960,Good
961,Good
962,Good
963,Bad
964,Good
966,Bad
967,Good
969,Good
970,Good
971,Good
975,Good
976,Good
979,Bad
980,Bad
982,Good
983,Bad
984,Good
985,Good
986,Good
987,Good
988,Good
989,Good
990,Good
991,Good
992,Good
993,Good
996,Good
997,Good
998,Bad
999,Good
