,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
12291,0.233091966,25,0,0.153167602,2493.0,8,0,0,0,0.0
117743,0.065113797,90,1,0.198600467,3000.0,10,0,1,0,1.0
114839,0.402539541,64,0,0.292485376,6666.0,6,0,1,0,1.0
97110,0.150405094,51,0,0.192772953,6447.0,9,0,2,0,0.0
147291,0.281647367,58,0,0.164166792,13333.0,7,0,2,0,2.0
63812,0.272599005,51,0,0.553915781,5081.0,10,0,2,0,0.0
82133,0.0193058,82,0,0.003537917,6500.0,9,0,0,0,0.0
61682,0.066813578,79,0,0.136772645,5000.0,8,0,1,0,0.0
128913,0.053924478,62,0,0.261770587,5500.0,9,0,1,0,1.0
103637,0.101947526,43,0,0.087381517,3375.0,3,0,0,0,1.0
113245,0.031593681,68,0,0.000380916,10500.0,7,0,0,0,0.0
8526,0.561804774,40,1,0.175248419,7748.0,4,0,0,0,1.0
63593,0.405397031,74,0,0.527191299,3125.0,14,0,1,0,0.0
53888,0.004877454,49,0,0.716054061,7916.0,7,0,3,0,0.0
75374,0.944384756,34,4,0.413171081,6984.0,6,1,1,1,2.0
16413,0.0,57,0,0.176766139,13135.0,9,0,2,0,0.0
5505,0.756698193,47,4,0.650514374,10400.0,14,0,3,0,3.0
12523,0.142702551,78,0,0.679404802,2956.0,6,0,1,0,0.0
